DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Vict Age,Premis Desc,Crm Cd 1,LOCATION,Cross Street,LAT,LON
202012036,07/13/2020 12:00:00 AM,07/13/2020 12:00:00 AM,645,20,Olympic,2079,510,0,STREET,510,1500    ARAPAHOE                     ST,,34.0462,-118.2854
201313785,07-12-2020 0.00,07-12-2020 0.00,20,13,Newton,1317,210,0,OTHER BUSINESS,210,1300 E  WASHINGTON                   BL,,34.0241,-118.25
201321089,12-11-2020 0.00,12-10-2020 0.00,2300,13,Newton,1372,510,0,STREET,510,100 E  57TH                         ST,,33.9907,-118.2739
201709730,05/27/2020 12:00:00 AM,05/27/2020 12:00:00 AM,1500,17,Devonshire,1721,354,33,SINGLE FAMILY DWELLING,354,21000    NASHVILLE                    ST,,34.2691,-118.5916
201604482,01/13/2020 12:00:00 AM,01/13/2020 12:00:00 AM,1530,16,Foothill,1637,210,0,AUTO SUPPLY STORE*,210,8300    FOOTHILL                     BL,,34.2634,-118.3074
201810264,04/28/2020 12:00:00 AM,04/21/2020 12:00:00 AM,1100,18,Southeast,1849,745,61,"VEHICLE, PASSENGER/TRUCK",745,2300    SANTA ANA                    BL,,33.9346,-118.2317
202110233,06-07-2020 0.00,06-05-2020 0.00,1830,21,Topanga,2157,331,36,STREET,331,6700    VARIEL                       AV,,34.1921,-118.5928
201714481,10/20/2020 12:00:00 AM,10/20/2020 12:00:00 AM,1650,17,Devonshire,1794,761,41,SINGLE FAMILY DWELLING,761,8400    DARBY                        AV,,34.2236,-118.5339
201911722,07-04-2020 0.00,07-03-2020 0.00,1700,19,Mission,1981,510,0,STREET,510,8800    LANGDON                      AV,,34.2302,-118.4698
201311864,06-05-2020 0.00,06-05-2020 0.00,1400,13,Newton,1343,510,0,STREET,510,SAN PEDRO,MARTIN LUTHER KING JR,34.0112,-118.2686
202111690,07/17/2020 12:00:00 AM,07/16/2020 12:00:00 AM,930,21,Topanga,2141,662,69,SINGLE FAMILY DWELLING,662,23800    WELBY                        WY,,34.1925,-118.6447
201704628,01/15/2020 12:00:00 AM,01/13/2020 12:00:00 AM,1930,17,Devonshire,1798,330,31,STREET,330,9000    HASKELL                      AV,,34.2338,-118.4763
201916803,11-03-2020 0.00,10/26/2020 12:00:00 AM,1740,19,Mission,1977,745,37,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),745,8800    WOODMAN                      AV,,34.2297,-118.4362
201814717,07/28/2020 12:00:00 AM,07/28/2020 12:00:00 AM,550,18,Southeast,1871,626,34,OTHER BUSINESS,626,14200 S  FIGUEROA                     ST,,33.9029,-118.2827
201819564,10/26/2020 12:00:00 AM,10/26/2020 12:00:00 AM,2020,18,Southeast,1831,745,26,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",745,500 W  EL SEGUNDO                   BL,,33.9201,-118.2868
201501103,11/25/2020 12:00:00 AM,11/25/2020 12:00:00 AM,2112,15,N Hollywood,1515,110,27,SIDEWALK,110,6900    SIMPSON                      AV,,34.1958,-118.389
202116958,12/13/2020 12:00:00 AM,12/13/2020 12:00:00 AM,135,21,Topanga,2136,930,35,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",930,7300    MILWOOD                      AV,,34.2029,-118.5943
230513434,09-12-2023 0.00,09-01-2020 0.00,1,5,Harbor,526,662,54,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",662,600 N  FRIES                        AV,,33.777,-118.2648
202106790,03-02-2020 0.00,03-01-2020 0.00,1430,21,Topanga,2113,510,0,PARKING LOT,510,22700    ROSCOE                       BL,,34.2194,-118.6213
201609898,06-11-2020 0.00,06-11-2020 0.00,1600,16,Foothill,1658,440,42,SINGLE FAMILY DWELLING,440,10200    SILVERTON                    AV,,34.2545,-118.2845
201501122,12-09-2020 0.00,12-08-2020 0.00,500,15,N Hollywood,1538,331,27,STREET,331,BURBANK                      BL,CASE                         AV,34.1722,-118.3719
202011852,07-07-2020 0.00,07-07-2020 0.00,1700,20,Olympic,2033,624,24,OTHER RESIDENCE,624,800 S  OXFORD                       AV,,34.0573,-118.3078
202111845,07/21/2020 12:00:00 AM,07/20/2020 12:00:00 AM,800,21,Topanga,2158,440,31,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",440,6300    VARIEL                       AV,,34.1845,-118.5928
221007765,04-10-2022 0.00,04-06-2020 0.00,1200,10,West Valley,1024,510,0,GARAGE/CARPORT,510,6600    RESEDA                       BL,,34.1958,-118.5399
201512580,07-12-2020 0.00,07-12-2020 0.00,327,15,N Hollywood,1599,330,42,STREET,330,3900    FREDONIA                     DR,,34.1353,-118.3633
202116416,11/27/2020 12:00:00 AM,11/26/2020 12:00:00 AM,1900,21,Topanga,2115,624,48,MINI-MART,624,21600    ROSCOE                       BL,,34.2197,-118.601
201512528,07-12-2020 0.00,07-12-2020 0.00,515,15,N Hollywood,1505,210,0,MINI-MART,210,7500 N  LANKERSHIM                   BL,,34.2067,-118.3878
201608474,04/27/2020 12:00:00 AM,04/24/2020 12:00:00 AM,1400,16,Foothill,1654,310,0,GOLF COURSE*,310,10400    GLENOAKS                     BL,,34.2587,-118.396
202018412,12/15/2020 12:00:00 AM,12-03-2020 0.00,1000,20,Olympic,2034,354,34,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",354,3400 W  7TH                          ST,,34.0597,-118.302
201704218,01-05-2020 0.00,01-02-2020 0.00,2330,17,Devonshire,1735,331,57,STREET,331,11000    LOUISE                       AV,,34.2702,-118.5109
201611044,07/13/2020 12:00:00 AM,07/13/2020 12:00:00 AM,300,16,Foothill,1684,745,28,SINGLE FAMILY DWELLING,745,12000    ROSCOE                       BL,,34.2217,-118.3946
202017540,11/21/2020 12:00:00 AM,11/17/2020 12:00:00 AM,1,20,Olympic,2001,331,51,SINGLE FAMILY DWELLING,331,N  VAN NESS                     AV,ELMWOOD                      AV,34.0785,-118.3157
201511954,06/29/2020 12:00:00 AM,06/29/2020 12:00:00 AM,1230,15,N Hollywood,1555,624,69,MTA BUS,624,N  LANKERSHIM                   BL,LA MAIDA                     ST,34.1588,-118.3709
201812242,06-07-2020 0.00,06-07-2020 0.00,1200,18,Southeast,1832,745,36,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",745,10600 S  MAIN                         ST,,33.9402,-118.2739
201609739,06-06-2020 0.00,06-06-2020 0.00,1210,16,Foothill,1623,626,42,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",626,13000    CARL                         ST,,34.2688,-118.4158
201315902,08/23/2020 12:00:00 AM,08/23/2020 12:00:00 AM,150,13,Newton,1313,230,54,STREET,230,PALOMA,16TH                         ST,34.0286,-118.2497
202006555,02/21/2020 12:00:00 AM,02/21/2020 12:00:00 AM,2330,20,Olympic,2027,740,30,STREET,740,ALEXANDRIA,6TH,34.0636,-118.2979
201917858,12-09-2020 0.00,12-09-2020 0.00,545,19,Mission,1915,901,52,SINGLE FAMILY DWELLING,901,12900    HERRICK                      AV,,34.3045,-118.4522
202104800,01/18/2020 12:00:00 AM,01/18/2020 12:00:00 AM,1230,21,Topanga,2156,440,52,HEALTH SPA/GYM,440,6400    CANOGA                       AV,,34.1865,-118.6017
201311256,05/23/2020 12:00:00 AM,05/21/2020 12:00:00 AM,2330,13,Newton,1327,745,43,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",745,1500 E  21ST                         ST,,34.0197,-118.2474
201408921,03/26/2020 12:00:00 AM,03/23/2020 12:00:00 AM,2000,14,Pacific,1427,331,63,STREET,331,BENTLEY                      AV,QUEENSLAND,34.0247,-118.4246
202008945,04/24/2020 12:00:00 AM,04/17/2020 12:00:00 AM,555,20,Olympic,2076,740,47,OTHER BUSINESS,740,1500 S  NORMANDIE                    AV,,34.0455,-118.3003
201913413,08/18/2020 12:00:00 AM,08/17/2020 12:00:00 AM,1410,19,Mission,1982,624,32,PARKING LOT,624,8800 N  SEPULVEDA                    BL,,34.2303,-118.4676
202110806,06/24/2020 12:00:00 AM,06/23/2020 12:00:00 AM,2100,21,Topanga,2138,510,0,STREET,510,20400    SHERMAN                      WY,,34.2011,-118.5794
210813187,08/24/2021 12:00:00 AM,11-12-2020 0.00,1000,8,West LA,858,341,65,BANK,341,8900 W  PICO                         BL,,34.0552,-118.3857
201607231,03/18/2020 12:00:00 AM,03/18/2020 12:00:00 AM,415,16,Foothill,1672,210,30,STREET,210,8800    KEWEN                        AV,,34.2289,-118.3917
201610229,06/21/2020 12:00:00 AM,06/19/2020 12:00:00 AM,850,16,Foothill,1621,740,39,SINGLE FAMILY DWELLING,740,10700    HADDON                       AV,,34.2649,-118.4328
201609748,06-06-2020 0.00,06-05-2020 0.00,845,16,Foothill,1664,624,36,OTHER BUSINESS,624,9200    SAN FERNANDO                 RD,,34.2366,-118.3902
201814518,07/24/2020 12:00:00 AM,07/24/2020 12:00:00 AM,100,18,Southeast,1851,310,0,OTHER BUSINESS,310,500 W  130TH                        ST,,33.9144,-118.2827
211608661,06-11-2021 0.00,06-04-2020 0.00,800,16,Foothill,1675,121,14,SINGLE FAMILY DWELLING,121,8500    LEHIGH                       AV,,34.2239,-118.3678
201804120,01-03-2020 0.00,01-02-2020 0.00,2100,18,Southeast,1846,510,0,PARKING LOT,510,11200    SUCCESS                      AV,,33.9311,-118.2493
202014839,09/19/2020 12:00:00 AM,09/19/2020 12:00:00 AM,845,20,Olympic,2034,740,0,RESTAURANT/FAST FOOD,740,3500    WILSHIRE                     BL,,34.0617,-118.3008
201411621,05/26/2020 12:00:00 AM,05/25/2020 12:00:00 AM,1800,14,Pacific,1477,330,32,SINGLE FAMILY DWELLING,330,7800    AIRLANE                      AV,,33.9689,-118.3899
201609476,05/27/2020 12:00:00 AM,05/27/2020 12:00:00 AM,1300,16,Foothill,1693,888,78,SINGLE FAMILY DWELLING,888,12500    LULL                         ST,,34.2094,-118.4053
202012886,08-01-2020 0.00,08-01-2020 0.00,1255,20,Olympic,2005,761,16,PARKING LOT,761,4200    BEVERLY                      BL,,34.0799,-118.3025
201910272,05/26/2020 12:00:00 AM,05/26/2020 12:00:00 AM,1600,19,Mission,1975,442,20,MARKET,442,9000    WOODMAN                      AV,,34.2342,-118.4436
201819741,10/30/2020 12:00:00 AM,10/29/2020 12:00:00 AM,2330,18,Southeast,1801,740,0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",740,8700 S  VERMONT                      AV,,33.9579,-118.2915
201715265,11-11-2020 0.00,11-11-2020 0.00,1118,17,Devonshire,1761,624,49,STREET,624,21700    NORDHOFF                     ST,,34.2448,-118.6134
201815321,08-08-2020 0.00,08-07-2020 0.00,2100,18,Southeast,1862,330,38,STREET,330,117TH                        ST,SPRING,33.9274,-118.2761
202111311,07-07-2020 0.00,07-05-2020 0.00,1600,21,Topanga,2146,441,57,PARKING UNDERGROUND/BUILDING,441,7000    VASSAR                       AV,,34.1974,-118.6044
202116692,12-06-2020 0.00,12-06-2020 0.00,1315,21,Topanga,2143,624,26,SIDEWALK,624,22900    VANOWEN                      ST,,34.1937,-118.6255
202115475,10/30/2020 12:00:00 AM,10/30/2020 12:00:00 AM,1520,21,Topanga,2185,210,39,PARKING LOT,210,TOPANGA CANYON               BL,CLARENDON,34.1696,-118.6059
201506796,02/26/2020 12:00:00 AM,02/17/2020 12:00:00 AM,1630,15,N Hollywood,1547,442,0,CLOTHING STORE,442,12100    VENTURA                      BL,,34.1673,-118.3816
